County,fips,TotalCases,TotalDeaths,PctOfInfections,PctDeaths,Population,PctPopInfected,Infection_per_100k,Deaths_per_100k,Deaths_per_100_Infections,Date
Meriwether,13199,13.0,0.0,0.0018,0.0,21068.0,0.00062,62.0,0.0,0.0,2020-04-06 11:28:04
Miller,13201,14.0,0.0,0.0019,0.0,5686.0,0.00246,246.0,0.0,0.0,2020-04-06 11:28:04
Mitchell,13205,56.0,1.0,0.0077,0.0179,22192.0,0.00252,252.0,5.0,2.0,2020-04-06 11:28:04
Monroe,13207,10.0,1.0,0.0014,0.1,27520.0,0.00036,36.0,4.0,10.0,2020-04-06 11:28:04
Montgomery,13209,0.0,0.0,0.0,0.0,9193.0,0.0,0.0,0.0,0.0,2020-04-06 11:28:04
Morgan,13211,5.0,0.0,0.0007,0.0,18853.0,0.00027,27.0,0.0,0.0,2020-04-06 11:28:04
Murray,13213,10.0,0.0,0.0014,0.0,39921.0,0.00025,25.0,0.0,0.0,2020-04-06 11:28:04
Muscogee,13215,40.0,0.0,0.0055,0.0,194160.0,0.00021,21.0,0.0,0.0,2020-04-06 11:28:04
Newton,13217,62.0,2.0,0.0085,0.0323,109541.0,0.00057,57.0,2.0,3.0,2020-04-06 11:28:04
Oconee,13219,24.0,0.0,0.0033,0.0,39272.0,0.00061,61.0,0.0,0.0,2020-04-06 11:28:04
Oglethorpe,13221,1.0,1.0,0.0001,1.0,15054.0,7e-05,7.0,7.0,100.0,2020-04-06 11:28:04
Paulding,13223,54.0,0.0,0.0074,0.0,164044.0,0.00033,33.0,0.0,0.0,2020-04-06 11:28:04
Peach,13225,15.0,2.0,0.0021,0.1333,27297.0,0.00055,55.0,7.0,13.0,2020-04-06 11:28:04
Pickens,13227,9.0,2.0,0.0012,0.2222,31980.0,0.00028,28.0,6.0,22.0,2020-04-06 11:28:04
Pierce,13229,21.0,0.0,0.0029,0.0,19389.0,0.00108,108.0,0.0,0.0,2020-04-06 11:28:04
Pike,13231,9.0,0.0,0.0012,0.0,18634.0,0.00048,48.0,0.0,0.0,2020-04-06 11:28:04
Polk,13233,20.0,0.0,0.0027,0.0,42470.0,0.00047,47.0,0.0,0.0,2020-04-06 11:28:04
Pulaski,13235,7.0,0.0,0.001,0.0,11069.0,0.00063,63.0,0.0,0.0,2020-04-06 11:28:04
Putnam,13237,3.0,0.0,0.0004,0.0,21809.0,0.00014,14.0,0.0,0.0,2020-04-06 11:28:04
Quitman,13239,1.0,0.0,0.0001,0.0,2279.0,0.00044,44.0,0.0,0.0,2020-04-06 11:28:04
Rabun,13241,3.0,0.0,0.0004,0.0,16867.0,0.00018,18.0,0.0,0.0,2020-04-06 11:28:04
Randolph,13243,24.0,0.0,0.0033,0.0,6833.0,0.00351,351.0,0.0,0.0,2020-04-06 11:28:04
Richmond,13245,56.0,1.0,0.0077,0.0179,201554.0,0.00028,28.0,0.0,2.0,2020-04-06 11:28:04
Rockdale,13247,80.0,2.0,0.0109,0.025,90594.0,0.00088,88.0,2.0,2.0,2020-04-06 11:28:04
Schley,13249,6.0,0.0,0.0008,0.0,5236.0,0.00115,115.0,0.0,0.0,2020-04-06 11:28:04
Screven,13251,2.0,0.0,0.0003,0.0,13938.0,0.00014,14.0,0.0,0.0,2020-04-06 11:28:04
Seminole,13253,9.0,0.0,0.0012,0.0,8315.0,0.00108,108.0,0.0,0.0,2020-04-06 11:28:04
Spalding,13255,41.0,2.0,0.0056,0.0488,66100.0,0.00062,62.0,3.0,5.0,2020-04-06 11:28:04
Stephens,13257,8.0,0.0,0.0011,0.0,26035.0,0.00031,31.0,0.0,0.0,2020-04-06 11:28:04
Stewart,13259,3.0,0.0,0.0004,0.0,6199.0,0.00048,48.0,0.0,0.0,2020-04-06 11:28:04
Sumter,13261,87.0,4.0,0.0119,0.046,29733.0,0.00293,293.0,13.0,5.0,2020-04-06 11:28:04
Talbot,13263,5.0,0.0,0.0007,0.0,6272.0,0.0008,80.0,0.0,0.0,2020-04-06 11:28:04
