County,Date,Deaths_per_100_Infections,Deaths_per_100k,Infection_per_100k,PctDeaths,PctOfInfections,PctPopInfected,Population,TotalCases,TotalDeaths,fips
Tift,2020-01-04 18:28:00,0.0,0.0,69.0,0.0,0.0059,0.0006900000000000001,40571.0,28.0,0.0,13277.0
Ware,2020-01-04 18:28:00,17.0,6.0,34.0,0.1667,0.0025,0.00034,35680.0,12.0,2.0,13299.0
Walker,2020-01-04 18:28:00,0.0,0.0,3.0,0.0,0.0004,3e-05,69410.0,2.0,0.0,13295.0
Upson,2020-01-04 18:28:00,0.0,0.0,23.0,0.0,0.0013,0.00023,26215.0,6.0,0.0,13293.0
Union,2020-01-04 18:28:00,0.0,0.0,4.0,0.0,0.0002,4e-05,24001.0,1.0,0.0,13291.0
Twiggs,2020-01-04 18:28:00,0.0,0.0,24.0,0.0,0.0004,0.00024,8188.0,2.0,0.0,13289.0
Turner,2020-01-04 18:28:00,0.0,0.0,63.0,0.0,0.0011,0.00063,7912.0,5.0,0.0,13287.0
Troup,2020-01-04 18:28:00,5.0,1.0,27.0,0.0526,0.004,0.00027,70034.0,19.0,1.0,13285.0
Walton,2020-01-04 18:28:00,0.0,0.0,14.0,0.0,0.0027,0.00014,93503.0,13.0,0.0,13297.0
Pulaski,2020-01-04 18:28:00,0.0,0.0,36.0,0.0,0.0008,0.00036,11069.0,4.0,0.0,13235.0
Richmond,2020-01-04 18:28:00,0.0,0.0,20.0,0.0,0.0086,0.0002,201554.0,41.0,0.0,13245.0
Pike,2020-01-04 18:28:00,0.0,0.0,11.0,0.0,0.0004,0.00011,18634.0,2.0,0.0,13231.0
Jackson,2020-01-04 18:28:00,0.0,0.0,14.0,0.0,0.0021,0.00014,70422.0,10.0,0.0,13157.0
Jasper,2020-01-04 18:28:00,0.0,0.0,14.0,0.0,0.0004,0.00014,14040.0,2.0,0.0,13159.0
Jefferson,2020-01-04 18:28:00,0.0,0.0,13.0,0.0,0.0004,0.00013000000000000002,15430.0,2.0,0.0,13163.0
Jenkins,2020-01-04 18:28:00,0.0,0.0,12.0,0.0,0.0002,0.00012,8683.0,1.0,0.0,13165.0
Johnson,2020-01-04 18:28:00,0.0,0.0,10.0,0.0,0.0002,0.0001,9708.0,1.0,0.0,13167.0
Jones,2020-01-04 18:28:00,0.0,0.0,14.0,0.0,0.0008,0.00014,28616.0,4.0,0.0,13169.0
Lamar,2020-01-04 18:28:00,0.0,0.0,21.0,0.0,0.0008,0.00021,19000.0,4.0,0.0,13171.0
Lanier,2020-01-04 18:28:00,0.0,0.0,10.0,0.0,0.0002,0.0001,10340.0,1.0,0.0,13173.0
Laurens,2020-01-04 18:28:00,0.0,0.0,30.0,0.0,0.0029,0.0003,47325.0,14.0,0.0,13175.0
Lee,2020-01-04 18:28:00,7.0,24.0,316.0,0.0745,0.0198,0.00316,29764.0,94.0,7.0,13177.0
Polk,2020-01-04 18:28:00,0.0,0.0,38.0,0.0,0.0034,0.00038,42470.0,16.0,0.0,13233.0
Lincoln,2020-01-04 18:28:00,0.0,0.0,51.0,0.0,0.0008,0.0005099999999999999,7915.0,4.0,0.0,13181.0
Long,2020-01-04 18:28:00,0.0,0.0,5.0,0.0,0.0002,5e-05,18998.0,1.0,0.0,13183.0
Lowndes,2020-01-04 18:28:00,4.0,1.0,21.0,0.0417,0.0051,0.00021,116321.0,24.0,1.0,13185.0
Lumpkin,2020-01-04 18:28:00,0.0,0.0,21.0,0.0,0.0015,0.00021,32955.0,7.0,0.0,13187.0
